employerJobCount,date,country,maskedEmployerName,employerAccountDateCreated,advtype,avgoverallcompanyrating,jobagedays,jobdatecreated,descriptionLengthChars,candStatusReviewedCount,supervisingJob,licenseRequiredJob,noEducationRequirementsJob,highSchoolEducationRequirementsJob,higherEducationRequirementsJob,applies,clicks,yearWeekOfYear,advDateCreatedDate,employeecount,normtitle,employerIndustry,normtitlecategory,admin1,city,jobHash
b'9',b'2018-01-05',b'US',b'Company420906802159',b'20170626',b'Direct Employer',b'0',b'51',b'20171115',b'2053',b'1',b'0',b'0',b'0',b'0',b'0',b'3',b'23',b'20181',b'2017-06-26',b'250-499',b'senior operator',b'Food/Beverage Services',b'install',b'HI',b'Kailua-Kona',b'Company4209068021599\n'
b'25',b'2017-12-31',b'US',b'Company472446404869',b'20161021',b'Direct Employer',b'0',b'5',b'20171226',b'1961',b'0',b'0',b'0',b'0',b'0',b'0',b'2',b'19',b'201752',b'2016-10-21',b'750-999',b'doorman',b'Beauty/Wellness',b'hospitality',b'OH',b'Saint Paris',b'Company47244640486925\n'
b'145',b'2017-09-17',b'US',b'Company94489280628',b'20150506',b'Direct Employer',b'34',b'12',b'20170905',b'3233',b'1',b'0',b'0',b'0',b'0',b'0',b'4',b'27',b'201737',b'2015-05-06',b'1-49',b'3d imaging operator',b'Transportation/Logistics',b'manufacturing',b'OH',b'Ashville',b'Company94489280628145\n'
b'1',b'2017-12-24',b'US',b'Company412316887482',b'20171204',b'none',b'0',b'20',b'20171204',b'297',b'1',b'0',b'0',b'0',b'0',b'0',b'3',b'23',b'201751',b'2017-12-04',b'1-49',b'customer service associate / cashier',b'Job Board (General)',b'retail',b'MO',b'Golden City',b'Company4123168874821\n'
b'879',b'2018-01-17',b'US',b'Company1434519076961',b'20130118',b'Staffing Agency',b'35',b'2',b'20180115',b'816',b'3',b'0',b'0',b'0',b'0',b'0',b'6',b'35',b'20183',b'2013-01-18',b'750-999',b'property management specialist',b'Insurance',b'realestate',b'MN',b'Saint Paul',b'Company1434519076961879\n'
b'1',b'2018-01-10',b'US',b'Company1357209691110',b'20171228',b'none',b'0',b'13',b'20171228',b'3438',b'0',b'0',b'0',b'0',b'0',b'0',b'1',b'15',b'20182',b'2017-12-28',b'1-49',b'early years educator',b'Energy/Utilities',b'education',b'MA',b'Cambridge',b'Company13572096911101\n'
b'100',b'2017-11-22',b'US',b'Company111669150512',b'20130515',b'Direct Employer',b'0',b'6',b'20171116',b'3022',b'2',b'0',b'0',b'0',b'0',b'0',b'4',b'27',b'201747',b'2013-05-15',b'1-49',b'court clerk',b'Energy/Utilities',b'legal',b'OR',b'Portland',b'Company111669150512100\n'
b'22',b'2017-12-28',b'US',b'Company901943135998',b'20150120',b'Direct Employer',b'0',b'23',b'20171205',b'5852',b'3',b'0',b'0',b'0',b'0',b'0',b'4',b'27',b'201752',b'2015-01-20',b'50-149',b'quality assurance manager',b'Energy/Utilities',b'management',b'IL',b'Millington',b'Company90194313599822\n'
b'48',b'2017-07-15',b'US',b'Company1589137913527',b'20160531',b'Direct Employer',b'20',b'38',b'20170607',b'645',b'0',b'0',b'0',b'0',b'0',b'0',b'9',b'47',b'201728',b'2016-05-31',b'250-499',b'engineering program manager',b'Health Care/Medical',b'techsoftware',b'CA',b'Maxwell',b'Company158913791352748\n'
b'700',b'2017-11-28',b'US',b'Company455266533614',b'20150605',b'Staffing Agency',b'0',b'6',b'20171122',b'1541',b'2',b'0',b'0',b'0',b'0',b'0',b'5',b'31',b'201748',b'2015-06-05',b'1-49',b'realtor associate',b'Staffing Firm (General)',b'realestate',b'MN',b'Afton',b'Company455266533614700\n'
b'3',b'2017-09-11',b'US',b'Company1151051241435',b'20170503',b'Direct Employer',b'28',b'94',b'20170609',b'4248',b'0',b'0',b'0',b'0',b'0',b'0',b'4',b'27',b'201737',b'2017-05-03',b'150-249',b'engineering consultant',b'Financial Services/Banking',b'management',b'CA',b'Sacramento',b'Company11510512414353\n'
b'91',b'2017-09-28',b'US',b'Company1623497639346',b'20160620',b'Direct Employer',b'43',b'14',b'20170914',b'1720',b'1',b'0',b'0',b'0',b'0',b'0',b'4',b'27',b'201739',b'2016-06-20',b'500-749',b'lead generation specialist',b'Retail/Consumer Products',b'sales',b'CA',b'Placerville',b'Company162349763934691\n'
b'321',b'2017-12-17',b'US',b'Company1563368096646',b'20150212',b'Direct Employer',b'22',b'13',b'20171204',b'871',b'2',b'0',b'0',b'0',b'0',b'0',b'4',b'27',b'201750',b'2015-02-12',b'50-149',b'investment analyst',b'Construction/Engineering',b'finance',b'OH',b'Cleveland',b'Company1563368096646321\n'
b'1',b'2017-10-20',b'US',b'Company618475290811',b'20171002',b'none',b'36',b'18',b'20171002',b'432',b'1',b'0',b'0',b'0',b'0',b'0',b'7',b'39',b'201742',b'2017-10-02',b'1-49',b'social work intern',b'Construction/Engineering',b'service',b'WI',b'Fox Valley',b'Company6184752908111\n'
b'67',b'2018-01-27',b'US',b'Company712964573913',b'20150120',b'Direct Employer',b'0',b'16',b'20180111',b'2739',b'2',b'0',b'0',b'0',b'0',b'0',b'4',b'27',b'20184',b'2015-01-20',b'1-49',b'senior staff engineer',b'Hospitality/Travel',b'engid',b'TX',b'Killeen',b'Company71296457391367\n'
b'55',b'2017-11-07',b'US',b'Company618475292435',b'20170608',b'Staffing Agency',b'0',b'14',b'20171024',b'260',b'3',b'0',b'0',b'0',b'0',b'0',b'4',b'27',b'201745',b'2017-06-08',b'1000+',b'assembly operator',b'Hospitality/Travel',b'manufacturing',b'KS',b'Wichita',b'Company61847529243555\n'
b'2',b'2017-12-15',b'US',b'Company1675037249201',b'20150526',b'none',b'0',b'0',b'20171215',b'2189',b'1',b'0',b'0',b'1',b'0',b'0',b'6',b'35',b'201750',b'2015-05-26',b'500-749',b'machinist',b'Other',b'manufacturing',b'SC',b'Charleston',b'Company16750372492012\n'
b'8',b'2017-10-08',b'US',b'Company214748375857',b'20170324',b'none',b'0',b'13',b'20170925',b'2912',b'1',b'0',b'0',b'0',b'0',b'0',b'5',b'31',b'201740',b'2017-03-24',b'50-149',b'senior automation engineer',b'Non-Profit/Association',b'techsoftware',b'MN',b'Sartell',b'Company2147483758578\n'
b'233',b'2017-11-04',b'US',b'Company223338299595',b'20151222',b'Staffing Agency',b'0',b'80',b'20170816',b'2722',b'6',b'0',b'0',b'0',b'0',b'0',b'7',b'39',b'201744',b'2015-12-22',b'50-149',b'software engineer',b'Transportation/Logistics',b'techsoftware',b'NJ',b'Princeton',b'Company223338299595233\n'
b'3',b'2017-11-28',b'US',b'Company1133871389159',b'20171005',b'none',b'0',b'12',b'20171116',b'1737',b'4',b'0',b'1',b'1',b'0',b'0',b'8',b'43',b'201748',b'2017-10-05',b'1000+',b'senior .net developer',b'Manufacturing',b'techsoftware',b'TN',b'North Knoxville',b'Company11338713891593\n'
b'88',b'2018-01-13',b'US',b'Company1408749273762',b'20141218',b'Direct Employer',b'0',b'93',b'20171012',b'2842',b'6',b'0',b'0',b'0',b'0',b'0',b'11',b'55',b'20182',b'2014-12-18',b'1000+',b'night manager',b'Insurance',b'food',b'MS',b'Robinsonville',b'Company140874927376288\n'
b'19',b'2017-09-25',b'US',b'Company274877910081',b'20160607',b'none',b'0',b'3',b'20170922',b'5113',b'0',b'0',b'0',b'0',b'0',b'0',b'5',b'31',b'201739',b'2016-06-07',b'50-149',b'system engineer',b'Defense/Security',b'engid',b'VA',b'Springfield',b'Company27487791008119\n'
b'30',b'2017-11-03',b'US',b'Company592705501955',b'20171013',b'none',b'0',b'10',b'20171024',b'2471',b'2',b'0',b'0',b'0',b'0',b'0',b'5',b'31',b'201744',b'2017-10-13',b'1-49',b'java developer',b'Legal',b'techsoftware',b'AR',b'Corning',b'Company59270550195530\n'
b'4',b'2017-07-14',b'US',b'Company816043788031',b'20170706',b'Direct Employer',b'0',b'4',b'20170710',b'1402',b'0',b'0',b'0',b'0',b'0',b'0',b'13',b'63',b'201728',b'2017-07-06',b'250-499',b'customer service analyst',b'Transportation/Logistics',b'customer',b'NC',b'Wade',b'Company8160437880314\n'
b'64',b'2017-07-28',b'US',b'Company274877907767',b'20170130',b'none',b'0',b'1',b'20170727',b'1553',b'1',b'0',b'0',b'0',b'0',b'0',b'12',b'59',b'201730',b'2017-01-30',b'1-49',b'public area attendant',b'Media/Newspaper',b'sanitation',b'MI',b'Dundee',b'Company27487790776764\n'
b'156',b'2017-12-10',b'US',b'Company541165880196',b'20130111',b'Direct Employer',b'40',b'61',b'20171010',b'798',b'4',b'0',b'0',b'0',b'0',b'0',b'7',b'39',b'201749',b'2013-01-11',b'500-749',b'labor and delivery nurse',b'Health Care/Medical',b'mednurse',b'TX',b'Denton',b'Company541165880196156\n'
b'184',b'2017-11-01',b'US',b'Company970662609932',b'20150114',b'Direct Employer',b'37',b'28',b'20171004',b'1731',b'1',b'0',b'0',b'0',b'0',b'0',b'4',b'27',b'201744',b'2015-01-14',b'50-149',b'patrol officer',b'Arts/Entertainment/Recreation',b'protective',b'IL',b'Spring Valley',b'Company970662609932184\n'
b'41',b'2018-01-05',b'US',b'Company103079215549',b'20160709',b'none',b'0',b'63',b'20171103',b'222',b'4',b'0',b'0',b'1',b'0',b'0',b'6',b'35',b'20181',b'2016-07-09',b'1-49',b'leasing consultant',b'Telecom',b'realestate',b'NJ',b'Carteret',b'Company10307921554941\n'
b'3',b'2018-01-04',b'US',b'Company1005022349531',b'20171129',b'none',b'48',b'30',b'20171205',b'2732',b'5',b'0',b'0',b'0',b'0',b'0',b'7',b'39',b'20181',b'2017-11-29',b'50-149',b'program manager',b'Education',b'project',b'MN',b'Brooklyn Park',b'Company10050223495313\n'
b'1104',b'2017-11-11',b'US',b'Company128849018938',b'20121206',b'Staffing Agency',b'0',b'25',b'20171017',b'796',b'2',b'0',b'0',b'0',b'0',b'0',b'4',b'27',b'201745',b'2012-12-06',b'500-749',b'crew supervisor',b'Staffing Firm (General)',b'management',b'NY',b'Castleton',b'Company1288490189381104\n'
b'17',b'2017-10-01',b'US',b'Company1030792153457',b'20170916',b'Staffing Agency',b'0',b'15',b'20170916',b'267',b'1',b'0',b'0',b'0',b'0',b'0',b'2',b'19',b'201739',b'2017-09-16',b'250-499',b'route driver',b'Advertising/Marketing',b'driver',b'IL',b'Vienna',b'Company103079215345717\n'
b'6',b'2017-08-23',b'US',b'Company489626275915',b'20160811',b'Direct Employer',b'0',b'28',b'20170726',b'1203',b'6',b'0',b'0',b'0',b'0',b'0',b'7',b'39',b'201734',b'2016-08-11',b'1-49',b'wellness manager',b'Financial Services/Banking',b'personal',b'NV',b'Spanish Springs',b'Company4896262759156\n'
b'43',b'2017-11-26',b'US',b'Company1125281431984',b'20160404',b'Staffing Agency',b'40',b'16',b'20171110',b'1273',b'3',b'0',b'0',b'0',b'0',b'0',b'4',b'27',b'201747',b'2016-04-04',b'1-49',b'senior mailroom clerk',b'Technology/Information',b'admin',b'NJ',b'Moonachie',b'Company112528143198443\n'
b'3',b'2017-10-26',b'US',b'Company111669161113',b'20160515',b'Direct Employer',b'0',b'21',b'20171005',b'229',b'5',b'0',b'0',b'0',b'0',b'0',b'7',b'39',b'201743',b'2016-05-15',b'1-49',b'grader',b'Automotive',b'manufacturing',b'DE',b'Greenwood',b'Company1116691611133\n'
b'1',b'2017-10-07',b'US',b'Company386547081892',b'20170912',b'none',b'0',b'25',b'20170912',b'135',b'1',b'0',b'0',b'0',b'0',b'0',b'4',b'27',b'201740',b'2017-09-12',b'1-49',b'event planner',b'Real Estate',b'management',b'TX',b'Dallas',b'Company3865470818921\n'
b'1',b'2018-01-29',b'US',b'Company1176821049274',b'20180124',b'none',b'0',b'5',b'20180124',b'88',b'11',b'0',b'0',b'0',b'0',b'0',b'23',b'103',b'20185',b'2018-01-24',b'150-249',b'senior client services',b'Retail/Consumer Products',b'sales',b'TX',b'Houston',b'Company11768210492741\n'
b'1',b'2017-10-06',b'US',b'Company188978585913',b'20170921',b'none',b'0',b'15',b'20170921',b'106',b'2',b'0',b'0',b'0',b'0',b'0',b'3',b'23',b'201740',b'2017-09-21',b'1-49',b'senior collection agent',b'Work at Home',b'sales',b'IL',b'Channahon',b'Company1889785859131\n'
b'4',b'2017-11-18',b'US',b'Company171798701173',b'20171113',b'none',b'0',b'1',b'20171117',b'3999',b'3',b'0',b'0',b'0',b'0',b'0',b'4',b'27',b'201746',b'2017-11-13',b'250-499',b'partnership manager',b'Defense/Security',b'sales',b'OH',b'Columbus',b'Company1717987011734\n'
b'13',b'2018-01-07',b'US',b'Company901943133236',b'20131113',b'Direct Employer',b'0',b'32',b'20171206',b'1704',b'2',b'0',b'0',b'0',b'0',b'0',b'4',b'27',b'20181',b'2013-11-13',b'1-49',b'plant accountant',b'Beauty/Wellness',b'accounting',b'CA',b'Mountain View',b'Company90194313323613\n'
b'136',b'2017-09-03',b'US',b'Company403726927777',b'20120414',b'Direct Employer',b'50',b'41',b'20170724',b'1770',b'3',b'0',b'0',b'0',b'0',b'0',b'4',b'27',b'201735',b'2012-04-14',b'1-49',b'business teacher',b'Hospitality/Travel',b'education',b'SC',b'Blenheim',b'Company403726927777136\n'
b'3',b'2017-12-13',b'US',b'Company1271310320373',b'20170702',b'none',b'35',b'89',b'20170915',b'799',b'3',b'0',b'0',b'0',b'0',b'0',b'9',b'47',b'201750',b'2017-07-02',b'1000+',b'chemical technician',b'Technology/Information',b'manufacturing',b'GA',b'Decatur',b'Company12713103203733\n'
b'301',b'2017-09-14',b'US',b'Company1486058684579',b'20151116',b'Staffing Agency',b'0',b'0',b'20170914',b'1014',b'5',b'0',b'0',b'0',b'0',b'0',b'6',b'35',b'201737',b'2015-11-16',b'1000+',b'press operator',b'Staffing Firm (General)',b'manufacturing',b'IL',b'Elk Grove Village',b'Company1486058684579301\n'
b'1',b'2017-11-08',b'US',b'Company1039382111307',b'20170926',b'none',b'0',b'43',b'20170926',b'200',b'0',b'0',b'0',b'0',b'0',b'0',b'10',b'51',b'201745',b'2017-09-26',b'1-49',b'middleware administrator',b'Automotive',b'techsoftware',b'RI',b'West Warwick',b'Company10393821113071\n'
b'634',b'2017-12-24',b'US',b'Company592705486858',b'20150603',b'Direct Employer',b'30',b'24',b'20171130',b'1436',b'3',b'0',b'0',b'0',b'0',b'0',b'5',b'31',b'201751',b'2015-06-03',b'250-499',b'director of catering',b'Education',b'hospitality',b'VA',b'Roanoke',b'Company592705486858634\n'
b'107',b'2017-08-17',b'US',b'Company1125281431665',b'20141201',b'Direct Employer',b'0',b'8',b'20170809',b'2649',b'0',b'0',b'0',b'0',b'0',b'0',b'2',b'19',b'201733',b'2014-12-01',b'1000+',b'housekeeping manager',b'Health Care/Medical',b'sanitation',b'IN',b'Trafalgar',b'Company1125281431665107\n'
b'262',b'2017-07-27',b'US',b'Company1022202216482',b'20140828',b'Staffing Agency',b'47',b'19',b'20170708',b'2526',b'2',b'0',b'0',b'0',b'0',b'0',b'3',b'23',b'201730',b'2014-08-28',b'1-49',b'legal assistant',b'Telecom',b'legal',b'AR',b'El Dorado',b'Company1022202216482262\n'
b'5',b'2018-01-02',b'US',b'Company1632087576734',b'20170705',b'Direct Employer',b'0',b'56',b'20171107',b'177',b'2',b'0',b'0',b'0',b'0',b'0',b'6',b'35',b'20181',b'2017-07-05',b'1-49',b'studio assistant',b'Hospitality/Travel',b'arts',b'PA',b'Westfield',b'Company16320875767345\n'
b'105',b'2017-09-19',b'US',b'Company1443109011946',b'20140826',b'Staffing Agency',b'33',b'48',b'20170802',b'5025',b'0',b'0',b'0',b'0',b'0',b'0',b'2',b'19',b'201738',b'2014-08-26',b'150-249',b'nurse technician',b'Health Care/Medical',b'medtech',b'FL',b'Tampa',b'Company1443109011946105\n'
b'130',b'2017-08-10',b'US',b'Company438086664194',b'20160928',b'Staffing Agency',b'39',b'11',b'20170730',b'1280',b'1',b'0',b'0',b'0',b'0',b'0',b'2',b'19',b'201732',b'2016-09-28',b'1000+',b'resident care associate',b'Staffing Firm (General)',b'service',b'AR',b'Bentonville',b'Company438086664194130\n'
b'3',b'2017-12-31',b'US',b'Company463856482116',b'20170509',b'none',b'0',b'28',b'20171203',b'202',b'2',b'0',b'0',b'0',b'0',b'0',b'7',b'39',b'201752',b'2017-05-09',b'1-49',b'coordinator',b'Education',b'uncategorized',b'MI',b'Grand Rapids',b'Company4638564821163\n'
b'83',b'2017-12-31',b'US',b'Company644245094865',b'20170207',b'Staffing Agency',b'36',b'16',b'20171215',b'1836',b'0',b'0',b'0',b'0',b'0',b'0',b'5',b'31',b'201752',b'2017-02-07',b'1-49',b'operating engineer',b'Transportation/Logistics',b'install',b'GA',b'Atlanta',b'Company64424509486583\n'
b'425',b'2018-01-18',b'US',b'Company515396075565',b'20150212',b'Staffing Agency',b'0',b'0',b'20180118',b'3207',b'3',b'0',b'0',b'0',b'0',b'0',b'4',b'27',b'20183',b'2015-02-12',b'750-999',b'director of quality assurance',b'Construction/Engineering',b'management',b'CA',b'El Segundo',b'Company515396075565425\n'
b'26',b'2017-07-26',b'US',b'Company833223655521',b'20150723',b'Direct Employer',b'0',b'23',b'20170703',b'743',b'6',b'0',b'0',b'0',b'0',b'0',b'9',b'47',b'201730',b'2015-07-23',b'50-149',b'meat cutter',b'Real Estate',b'retail',b'MD',b'Brunswick',b'Company83322365552126\n'
b'26',b'2018-01-09',b'US',b'Company1082331764978',b'20150701',b'Direct Employer',b'30',b'11',b'20171229',b'797',b'2',b'0',b'0',b'0',b'0',b'0',b'3',b'23',b'20182',b'2015-07-01',b'50-149',b'comptroller',b'Hospitality/Travel',b'accounting',b'MI',b'Wixom',b'Company108233176497826\n'
b'1488',b'2017-12-23',b'US',b'Company773094113398',b'20140515',b'Direct Employer',b'27',b'36',b'20171117',b'1056',b'2',b'0',b'0',b'0',b'0',b'0',b'4',b'27',b'201751',b'2014-05-15',b'1000+',b'staff coordinator',b'Retail/Consumer Products',b'admin',b'AL',b'Montgomery',b'Company7730941133981488\n'
b'11',b'2017-11-12',b'US',b'Company996432414081',b'20170728',b'none',b'0',b'3',b'20171109',b'1793',b'14',b'0',b'0',b'0',b'0',b'0',b'17',b'79',b'201745',b'2017-07-28',b'750-999',b'ruby on rails developer',b'Accounting/Consulting',b'techsoftware',b'SC',b'Moncks Corner',b'Company99643241408111\n'
b'56',b'2017-11-17',b'US',b'Company1245540516695',b'20150313',b'Direct Employer',b'0',b'11',b'20171106',b'2702',b'1',b'0',b'0',b'0',b'0',b'0',b'2',b'19',b'201746',b'2015-03-13',b'1-49',b'customer success manager',b'Advertising/Marketing',b'customer',b'CA',b'Los Angeles',b'Company124554051669556\n'
b'5',b'2018-01-04',b'US',b'Company944892819587',b'20170802',b'Direct Employer',b'0',b'14',b'20171221',b'503',b'1',b'0',b'0',b'0',b'0',b'0',b'4',b'27',b'20181',b'2017-08-02',b'50-149',b'director of facilities',b'Insurance',b'management',b'CA',b'San Jose',b'Company9448928195875\n'
b'1',b'2018-01-30',b'US',b'Company1365799626585',b'20171130',b'none',b'0',b'61',b'20171130',b'161',b'0',b'0',b'0',b'0',b'0',b'0',b'3',b'23',b'20185',b'2017-11-30',b'1-49',b'alarm technician',b'Energy/Utilities',b'install',b'MO',b'Marshfield',b'Company13657996265851\n'
b'1',b'2018-01-31',b'US',b'Company403726925999',b'20171212',b'none',b'38',b'50',b'20171212',b'1141',b'2',b'0',b'0',b'0',b'0',b'0',b'5',b'31',b'20185',b'2017-12-12',b'1000+',b'real estate agent',b'Non-Profit/Association',b'realestate',b'NY',b'New York',b'Company4037269259991\n'
b'284',b'2017-11-02',b'US',b'Company1211180777646',b'20160418',b'Direct Employer',b'0',b'17',b'20171016',b'1812',b'4',b'0',b'0',b'0',b'0',b'0',b'6',b'35',b'201744',b'2016-04-18',b'50-149',b'financial advisor',b'Other',b'sales',b'OH',b'Tallmadge',b'Company1211180777646284\n'
b'950',b'2017-12-01',b'US',b'Company1288490189440',b'20121024',b'Staffing Agency',b'0',b'3',b'20171128',b'1112',b'0',b'0',b'0',b'0',b'0',b'0',b'5',b'31',b'201748',b'2012-10-24',b'750-999',b'electrical assembler',b'Staffing Firm (General)',b'manufacturing',b'CT',b'Westport',b'Company1288490189440950\n'
b'214',b'2017-07-28',b'US',b'Company1254130450812',b'20141022',b'Staffing Agency',b'0',b'6',b'20170722',b'1683',b'0',b'0',b'0',b'0',b'0',b'0',b'1',b'15',b'201730',b'2014-10-22',b'1-49',b'yoga instructor',b'Other',b'education',b'PA',b'Philadelphia',b'Company1254130450812214\n'
b'29',b'2017-10-22',b'US',b'Company1657857376660',b'20140520',b'Direct Employer',b'0',b'53',b'20170830',b'2277',b'3',b'0',b'0',b'0',b'0',b'0',b'5',b'31',b'201742',b'2014-05-20',b'150-249',b'personnel assistant',b'Energy/Utilities',b'admin',b'VA',b'Glen Allen',b'Company165785737666029\n'
b'54',b'2017-11-17',b'US',b'Company386547059511',b'20121203',b'Direct Employer',b'0',b'11',b'20171106',b'2252',b'2',b'0',b'0',b'1',b'0',b'0',b'4',b'27',b'201746',b'2012-12-03',b'500-749',b'education coordinator',b'Health Care/Medical',b'service',b'CA',b'San Jose',b'Company38654705951154\n'
b'384',b'2017-11-09',b'US',b'Company601295421449',b'20170220',b'Staffing Agency',b'38',b'15',b'20171025',b'650',b'4',b'0',b'0',b'0',b'0',b'0',b'10',b'51',b'201745',b'2017-02-20',b'150-249',b'release manager',b'Transportation/Logistics',b'techsoftware',b'NC',b'Willow Spring',b'Company601295421449384\n'
b'28',b'2018-01-18',b'US',b'Company1649267442051',b'20150504',b'Direct Employer',b'0',b'98',b'20171012',b'1993',b'5',b'0',b'0',b'0',b'0',b'0',b'7',b'39',b'20183',b'2015-05-04',b'1-49',b'senior laboratory technician',b'Arts/Entertainment/Recreation',b'medtech',b'NY',b'Owego',b'Company164926744205128\n'
b'5',b'2017-10-16',b'US',b'Company1657857385724',b'20170929',b'Staffing Agency',b'36',b'5',b'20171011',b'449',b'5',b'0',b'0',b'1',b'0',b'0',b'10',b'51',b'201742',b'2017-09-29',b'50-149',b'warehouse worker',b'Arts/Entertainment/Recreation',b'warehouse',b'OH',b'Kenwood',b'Company16578573857245\n'
b'34',b'2017-11-18',b'US',b'Company919123003915',b'20151230',b'Direct Employer',b'0',b'32',b'20171017',b'589',b'0',b'0',b'0',b'0',b'0',b'0',b'7',b'39',b'201746',b'2015-12-30',b'1-49',b'registered nurse',b'Health Care/Medical',b'mednurse',b'PA',b'Shawnee on Delaware',b'Company91912300391534\n'
b'1',b'2017-08-03',b'US',b'Company1374389545053',b'20170517',b'none',b'0',b'78',b'20170517',b'312',b'0',b'0',b'0',b'0',b'0',b'0',b'2',b'19',b'201731',b'2017-05-17',b'1-49',b'instructor',b'Telecom',b'education',b'NY',b'Macedon',b'Company13743895450531\n'
