avgoverallcompanyrating,descriptionLengthChars,clicks,JobCategory
0,2184,11,37
0,3301,27,12
0,1525,35,14
0,1053,51,13
0,729,19,38
0,2555,27,13
0,583,15,23
0,616,15,7
0,454,27,2
0,2715,31,9
0,2090,27,2
0,2454,27,27
0,544,39,10
36,666,27,1
0,492,27,11
32,2542,47,26
0,1002,39,14
0,1022,27,8
0,295,39,5
0,215,39,34
0,1309,23,11
25,2682,19,32
0,226,31,23
0,2081,23,27
0,2110,23,39
35,3686,23,2
0,177,51,14
0,2480,23,7
0,762,27,5
0,1394,19,40
0,8351,15,12
0,936,31,33
0,1121,27,12
30,1717,31,19
38,446,35,8
0,1654,35,14
50,2969,43,41
0,1073,27,12
40,1941,11,37
34,2082,27,14
0,4835,19,7
0,351,147,13
0,986,27,3
0,1164,19,2
0,1378,71,14
0,321,23,35
0,1229,131,9
0,1304,23,7
0,1337,47,14
0,698,39,27
0,5811,31,29
0,3868,27,24
0,3067,35,17
37,2147,31,14
0,4206,59,8
33,556,35,7
33,1279,39,6
0,1365,15,5
35,1707,19,5
31,583,35,26
0,1056,55,2
28,2169,31,5
0,695,19,5
37,1850,39,42
0,394,27,43
0,139,27,44
0,364,51,9
0,2674,39,45
0,2098,35,15
0,1953,19,21
0,3550,43,35
0,3469,23,14
0,2030,27,10
0,530,31,37
0,2170,31,10
44,919,155,14
30,1210,23,5
35,1147,15,14
41,497,19,14
0,873,23,9
0,3111,63,35
0,353,27,46
0,2570,19,2
32,1321,35,20
0,1107,35,14
31,540,27,14
33,4481,39,35
0,4971,35,7
0,1970,31,20
0,288,31,5
27,425,23,32
0,6019,19,5
40,2165,31,22
0,3074,35,11
0,1147,39,7
0,4071,15,11
0,866,23,5
49,2366,27,33
0,70,31,46
0,1547,19,11
0,949,27,5
0,590,39,47
38,2254,43,7
0,846,19,24
29,1572,23,25
0,3181,19,33
38,1389,31,9
0,1384,31,27
0,2202,19,27
0,97,27,7
0,3089,15,14
0,658,27,24
0,598,35,31
39,9602,31,48
0,169,31,35
0,2264,47,21
0,671,43,8
42,2844,39,48
40,704,19,10
30,5877,51,6
0,2022,47,37
0,2868,743,27
0,648,23,45
0,587,23,25
0,3397,35,23
0,1813,43,14
42,646,27,48
46,2429,51,3
0,1333,27,37
0,3442,27,1
31,2931,19,5
30,308,27,12
0,1629,27,27
0,2045,39,9
0,3072,39,8
0,1072,51,12
38,6969,15,12
0,2539,43,14
0,1715,23,1
47,2738,19,8
0,1805,35,11
0,161,23,12
0,1974,23,9
0,2350,19,42
38,640,59,9
30,2356,27,25
0,1815,23,14
0,910,31,27
0,2489,43,15
0,748,27,38
0,2450,35,5
0,826,31,4
0,758,19,37
0,2473,27,13
0,6843,31,14
0,1823,19,23
0,387,27,2
36,1968,23,23
0,180,35,48
0,2089,27,24
0,2194,35,12
43,1167,35,41
0,2365,23,3
45,2064,31,49
30,3079,55,22
44,1918,35,15
0,2535,39,50
0,265,23,12
37,3165,39,15
0,71,35,14
0,4027,23,41
36,2258,43,13
39,1420,39,41
0,1958,31,9
41,1355,27,40
0,2255,47,27
0,1964,35,41
10,2286,27,2
0,741,63,11
0,1193,35,3
0,803,31,40
36,1439,31,15
0,948,23,2
35,2777,55,13
34,3400,27,10
0,1721,39,14
0,731,35,5
27,3414,27,4
0,1937,187,12
0,1468,23,11
27,2822,15,27
0,2121,39,40
10,416,39,25
0,905,35,27
0,1176,27,35
0,3593,27,5
0,1146,31,7
0,994,19,37
0,1121,23,5
31,1262,35,17
0,443,43,1
0,2058,15,14
36,619,131,5
37,720,27,12
0,171,27,44
0,456,27,7
0,1764,47,9
0,859,31,7
0,1120,19,26
0,1952,19,10
41,3115,43,15
0,502,31,7
0,97,27,39
43,49,39,14
0,940,23,41
0,2461,47,38
40,2956,23,42
0,2047,39,4
30,596,259,10
30,1229,51,5
0,36,43,10
38,4951,15,10
32,1045,43,21
0,419,19,8
0,440,39,5
0,1257,23,23
0,573,31,5
0,876,39,12
0,795,23,35
0,46,39,12
0,460,43,17
0,3367,55,5
30,1469,31,46
36,1634,23,6
31,3141,27,22
0,1304,35,31
0,3049,31,1
33,2715,19,2
0,689,39,9
37,2224,23,13
38,1788,27,14
0,2699,23,3
0,934,35,41
0,1952,23,2
22,298,27,14
0,982,19,12
0,1095,39,50
27,3146,35,14
0,888,35,37
0,2309,23,27
30,2745,39,14
0,3122,27,7
0,1415,23,27
0,2211,35,3
0,3244,43,12
35,138,43,1
0,103,39,12
0,3283,19,10
50,381,23,13
35,1272,43,45
0,2190,55,12
0,85,315,21
40,1279,19,19
30,953,35,48
0,3022,23,17
0,495,155,4
40,2495,35,22
0,466,35,12
0,824,27,40
0,1095,35,1
0,5038,43,7
36,799,23,5
45,2600,51,22
34,3393,15,27
37,1496,23,1
50,4043,127,9
0,1723,23,12
0,384,31,3
0,1313,19,26
0,3637,27,12
37,1577,59,45
0,1170,31,4
0,779,39,5
30,2282,27,27
0,2090,43,2
39,1324,23,27
0,2680,31,31
0,788,23,27
48,3272,39,8
0,71,43,14
0,1957,139,14
0,2382,27,9
32,1646,23,9
0,1910,27,34
0,1385,27,8
39,1462,27,3
31,3109,31,14
0,1954,39,12
30,829,31,12
38,698,31,18
0,2208,19,7
0,1014,27,1
0,939,283,35
0,393,27,41
0,2174,31,5
0,1805,23,7
0,489,23,1
0,1955,35,35
0,5287,23,5
0,478,43,35
37,433,19,46
0,1719,35,7
0,2449,39,35
0,1996,91,31
37,809,27,30
0,461,15,14
0,796,87,23
50,2693,39,14
39,3632,35,31
0,2685,23,13
0,1974,23,9
0,416,19,29
31,1022,35,5
34,1747,39,9
0,348,35,10
33,393,27,3
37,94,27,37
0,1351,107,14
34,885,19,46
35,1235,35,12
0,2425,15,18
0,183,19,48
0,502,31,7
30,2772,27,24
0,3886,39,24
0,915,31,35
33,787,35,12
0,442,19,11
0,1196,15,24
0,2343,31,22
0,284,35,37
40,1813,23,3
0,874,27,31
36,576,27,25
0,675,23,29
0,4544,35,42
0,901,15,10
0,1538,27,37
39,1425,55,51
38,1833,31,49
0,288,27,12
45,1869,39,4
0,405,35,21
0,708,39,15
43,1464,23,5
0,414,35,11
0,1115,35,7
0,2618,27,49
0,1234,167,34
40,844,27,25
0,2491,39,48
40,182,23,25
0,1669,47,24
36,180,31,13
0,1488,27,1
0,5729,27,14
0,997,31,12
0,5101,31,25
36,590,27,28
0,495,43,37
0,1751,23,14
0,1073,31,25
0,334,27,27
0,236,31,8
0,478,35,35
0,855,35,18
0,2293,23,7
0,1091,39,27
40,568,31,24
36,2799,27,25
0,5366,39,42
0,908,31,9
0,585,15,14
0,1458,47,21
0,1518,19,5
0,2525,35,12
0,2456,47,34
0,1322,11,36
0,1590,35,7
0,1290,23,14
23,1402,19,7
0,4164,27,14
0,1484,39,27
36,854,23,1
0,667,27,44
35,1320,35,19
35,4186,35,7
33,1486,51,3
0,2141,39,22
39,1654,39,8
0,1205,19,14
0,848,31,14
36,1499,47,27
0,3358,27,47
31,535,27,23
48,3760,31,44
32,2031,27,46
0,1313,39,5
38,3004,51,34
0,353,35,9
0,808,31,17
38,4890,35,9
0,1588,51,52
0,1387,47,41
29,2391,39,8
0,725,27,14
0,897,27,2
0,308,39,11
0,1605,95,46
0,3890,87,26
39,4462,51,5
0,2145,47,10
0,1275,23,24
0,747,35,10
0,1386,27,43
0,2328,23,10
36,1503,19,8
0,695,43,5
0,165,31,15
0,1425,91,37
0,4717,35,4
0,4747,31,48
0,1238,11,4
0,505,39,14
0,483,19,10
0,267,31,27
0,3555,11,13
0,1135,31,27
0,361,35,5
0,403,27,25
0,867,27,15
0,1035,23,7
0,4842,23,5
38,2180,27,37
0,403,31,5
0,250,23,45
0,2427,31,5
32,921,27,37
0,105,27,5
0,2384,27,18
38,1644,15,13
32,3321,19,37
0,987,35,35
31,3609,47,13
34,2486,19,27
0,1460,27,8
0,3331,19,27
0,4083,31,23
36,528,31,27
0,525,31,1
0,367,23,22
0,2288,31,2
0,1240,23,14
23,2232,23,14
41,1359,27,4
0,339,27,16
0,1620,27,35
0,925,19,24
0,153,43,4
0,1070,39,27
0,789,23,5
0,515,23,14
0,603,27,1
0,2996,39,14
0,2161,27,10
0,1217,35,9
0,2856,83,35
40,425,35,34
38,4357,31,23
0,500,19,19
0,955,31,3
0,569,31,41
42,435,27,3
0,428,23,41
0,1993,27,31
25,1478,31,21
0,659,35,25
0,454,19,10
0,362,331,19
0,365,27,4
37,600,27,31
0,568,39,27
0,549,35,14
50,3774,47,9
31,3914,23,37
0,671,19,40
31,155,19,9
37,391,27,12
0,2777,35,27
0,1319,23,24
10,1392,95,12
0,261,27,35
36,815,35,7
0,2076,15,35
50,1220,39,5
10,184,43,37
0,1747,27,12
0,398,23,49
29,1622,23,48
0,636,31,12
0,319,15,3
0,274,31,7
0,765,35,2
0,1402,23,14
0,1359,31,14
0,2170,35,10
0,972,19,8
0,7746,23,14
36,1197,27,10
48,376,43,48
0,536,39,9
0,1602,35,14
0,1328,43,41
40,1803,27,35
33,652,31,1
35,1919,35,13
0,1612,27,27
50,1777,15,14
0,1258,27,35
0,1212,63,31
0,1255,31,10
30,276,39,14
0,2122,35,24
0,293,23,4
0,3272,19,13
34,7062,31,46
0,1233,47,50
0,612,35,5
30,1281,19,5
0,155,27,5
0,511,35,16
0,505,27,18
0,3161,31,8
24,640,35,41
0,1731,31,38
40,2333,35,51
0,403,35,17
50,902,19,48
0,2567,31,27
39,273,27,17
0,1448,47,33
0,1983,55,34
0,1024,27,5
33,3421,39,27
0,1864,35,28
38,822,27,49
0,4180,39,4
28,1319,35,14
44,2895,67,13
0,82,27,14
0,2380,27,35
33,1675,43,17
40,2443,35,8
0,1304,23,27
0,1067,31,11
0,1969,23,10
0,6976,35,7
0,697,223,9
37,2010,23,12
0,1433,23,24
0,335,99,16
0,706,31,12
0,2931,35,2
0,207,43,14
0,1592,31,38
0,1109,27,14
0,180,31,3
0,875,27,48
39,2192,39,5
0,371,27,5
0,1191,27,25
33,870,27,2
0,589,27,11
0,1226,43,46
50,2959,35,18
0,2691,39,47
31,1705,31,14
0,832,47,27
0,1252,39,20
0,1646,27,27
37,1228,31,19
0,1766,35,14
0,328,35,4
32,62,19,47
0,446,35,11
0,2609,43,35
0,492,27,2
27,1534,27,16
0,2619,51,9
0,908,27,25
0,3338,15,7
0,1848,27,35
0,372,23,11
0,39,27,11
0,1793,79,4
30,202,15,13
36,1032,23,14
0,1131,43,18
0,379,15,14
0,260,31,14
42,1721,23,42
0,3704,35,48
26,2491,35,8
39,849,15,11
36,1789,35,25
0,1138,23,33
0,1174,31,11
38,850,23,9
0,2308,27,4
25,1781,55,41
0,1457,27,14
0,788,31,2
34,2961,35,18
0,1313,31,14
0,1505,39,37
0,692,39,15
0,255,31,24
0,204,31,24
0,1924,23,1
0,1557,31,15
0,1233,39,6
0,542,31,4
50,730,31,41
0,1075,35,7
0,151,27,31
0,476,27,35
0,1731,31,2
0,2068,23,53
0,866,27,37
0,455,43,45
0,1670,27,11
36,932,19,27
39,1232,31,24
0,1089,27,1
0,1118,31,13
0,263,15,6
0,1098,39,12
0,1016,39,45
40,2017,19,12
0,1753,47,10
0,723,31,14
0,524,39,12
0,108,31,30
0,6452,43,7
36,607,27,15
0,256,51,37
0,1833,31,16
33,1312,27,8
30,2816,23,15
0,1859,39,35
33,1556,463,12
0,375,31,3
0,728,23,8
0,4587,23,49
0,2038,19,25
15,1056,47,27
0,1077,47,5
37,221,19,33
39,1923,87,18
42,453,27,14
0,2358,51,25
36,831,23,27
0,992,27,13
31,4423,43,37
40,1166,35,38
0,154,23,41
0,2835,23,4
0,864,95,48
0,3999,23,12
0,600,39,2
0,1997,15,14
41,1481,35,41
0,1806,35,10
0,2817,35,4
50,953,27,21
38,1828,31,6
0,127,19,50
36,2140,31,12
43,687,27,5
38,1982,23,7
0,2279,23,12
0,1198,35,31
0,534,123,14
0,242,47,12
0,1809,31,1
0,1315,71,13
0,118,43,2
36,1013,23,40
25,205,23,3
0,192,1011,27
0,463,15,32
37,2255,15,47
0,553,39,11
0,438,39,14
0,1625,15,48
0,3311,39,19
0,3846,19,25
0,1062,31,18
0,794,23,12
0,664,15,30
0,1038,31,21
40,1035,31,24
41,678,19,27
0,3852,27,14
0,1979,31,8
30,1393,39,10
0,1074,35,11
36,1241,35,19
0,267,23,29
39,3183,43,54
0,2280,43,27
0,480,43,49
0,1271,31,31
34,1616,15,14
0,2962,31,27
0,1000,43,10
0,1178,15,28
0,4468,35,5
0,334,27,40
0,3014,31,13
0,2400,27,4
35,6989,35,38
39,1237,23,3
0,103,15,1
0,712,47,11
0,523,23,12
0,624,27,5
0,519,19,4
34,1772,31,2
44,2685,43,23
29,5336,27,49
0,441,43,46
0,516,27,35
0,558,39,17
0,2015,19,24
0,577,51,27
0,2527,39,27
50,1184,19,34
0,1905,23,9
40,1163,23,14
0,358,19,28
0,471,527,23
0,814,31,12
0,206,23,10
0,1906,27,30
0,3897,19,4
37,1584,23,14
38,6065,39,40
33,287,31,4
39,930,27,33
0,298,23,14
0,211,47,14
0,2046,55,47
0,811,27,1
0,6240,23,14
0,2439,15,20
0,3457,43,11
37,1044,15,39
37,1578,43,14
0,215,31,14
0,316,19,38
0,964,39,7
0,798,27,27
43,766,27,5
30,1744,19,5
0,183,23,24
32,2617,23,24
0,1376,15,12
34,381,43,5
45,1775,55,27
38,4252,15,1
0,1046,43,12
0,1841,39,3
34,2470,31,12
0,2176,31,25
0,485,67,7
0,2677,31,48
40,279,35,23
0,114,23,23
33,1967,31,50
0,343,19,14
0,1901,11,12
0,2604,15,2
50,1645,35,14
42,2581,31,27
0,983,99,15
50,2575,27,24
37,419,27,14
0,1057,27,7
37,682,15,14
0,173,27,3
0,1466,47,25
47,346,23,13
0,2275,11,14
0,1237,31,14
30,1775,27,19
0,993,43,12
41,2282,55,4
0,344,19,12
0,48,39,30
44,652,51,41
0,1186,23,23
36,713,39,37
36,4235,27,13
0,1604,63,27
0,788,39,18
0,1727,39,10
35,2344,35,14
0,1955,23,3
38,2008,39,27
0,2900,23,8
38,3243,19,5
0,1982,19,7
0,2092,99,12
0,452,23,43
0,1422,27,1
0,5610,35,14
0,5067,19,14
0,302,39,4
42,2339,35,35
0,2984,23,3
25,1021,35,2
0,146,39,12
0,829,31,10
0,2568,23,14
37,897,31,14
0,727,27,11
0,636,27,48
0,778,39,51
29,1560,27,15
38,4456,195,47
0,1778,35,30
0,1203,31,49
33,7215,23,4
0,4336,15,27
0,2725,27,55
0,1185,35,43
30,2854,27,15
0,811,35,3
0,3162,27,14
34,2849,35,38
0,942,23,13
0,1198,27,31
0,307,39,35
38,290,19,14
40,2859,39,16
0,3997,31,14
0,1421,27,29
0,576,39,35
0,544,35,2
0,2753,31,5
0,1829,19,50
0,1037,47,8
0,1185,23,11
0,583,23,36
36,572,23,23
37,1986,35,37
0,476,35,28
0,5093,31,1
0,806,19,23
40,2311,27,13
36,3754,23,27
0,647,35,14
44,287,47,41
0,844,31,27
0,3193,27,2
0,354,27,6
0,138,23,41
40,1753,23,2
0,430,43,46
0,468,31,48
0,1564,23,14
35,2302,35,2
0,692,27,1
0,174,23,4
0,1479,91,44
0,2684,35,14
40,1101,219,9
0,1632,23,37
0,1808,27,12
0,2325,59,5
0,465,39,10
0,54,31,34
50,991,27,27
0,1113,147,30
34,2281,19,11
31,255,19,27
0,2024,27,16
0,2150,19,16
0,1258,31,26
34,971,31,13
30,882,27,3
37,1090,15,23
40,1160,35,5
39,1467,31,7
0,396,31,54
0,1918,27,37
0,165,43,26
0,1894,31,12
40,3817,31,37
0,926,11,14
0,1146,31,2
35,2644,23,19
39,640,19,25
0,1467,31,14
36,766,27,26
33,976,27,46
0,1521,35,5
0,879,19,15
0,1613,31,14
0,991,39,8
37,923,19,5
50,296,35,18
39,673,43,27
0,694,31,14
0,167,39,27
31,3293,27,28
30,2453,19,14
0,675,23,9
0,1128,23,12
0,598,167,9
32,563,27,44
0,1528,39,12
0,1336,39,34
0,2483,23,4
0,2735,19,17
0,1525,23,14
0,596,39,4
0,1866,35,13
50,472,27,1
0,562,27,7
40,1877,23,5
0,3941,31,5
50,2625,87,14
0,1214,27,12
0,472,27,11
0,798,19,5
0,2629,51,27
0,973,79,5
0,880,39,12
0,2201,55,14
29,1268,23,23
24,1007,43,23
0,1434,35,35
0,2982,39,22
0,2492,35,4
34,1731,15,3
0,1933,27,27
0,1161,19,27
39,2926,23,5
0,3741,31,13
0,6224,35,21
0,717,31,37
0,492,35,5
0,937,31,15
37,1870,291,14
0,587,39,17
0,2192,35,35
0,520,39,32
0,80,19,5
0,1757,43,21
36,1324,23,38
0,1085,23,11
0,1955,35,3
0,873,39,25
0,511,27,10
0,3008,47,25
0,1007,27,10
0,2499,27,23
0,500,27,19
0,2885,31,5
0,1271,31,31
36,1453,35,19
0,2230,23,45
0,765,35,13
0,3384,35,5
0,561,35,7
33,2683,27,4
0,1140,27,14
32,856,35,7
0,1791,23,27
0,522,23,10
0,431,39,4
0,1699,35,36
0,5536,35,11
41,298,39,14
0,295,27,23
38,933,71,19
10,902,31,37
0,658,27,24
0,3285,43,46
0,799,27,3
40,45,27,27
39,1395,23,24
0,1159,27,11
0,606,43,37
0,1329,31,14
0,2423,31,10
0,827,23,24
50,603,31,2
50,2048,27,11
40,275,19,46
0,671,39,27
0,1863,23,7
0,1309,39,10
39,1763,39,5
0,666,39,38
0,2047,35,14
41,843,39,11
0,200,23,50
38,1671,23,4
47,3000,31,3
40,894,35,41
0,2524,19,3
0,3029,19,10
0,589,35,12
0,2938,35,25
0,2414,35,3
0,5284,83,5
0,1336,27,41
0,2789,39,25
0,1350,23,4
0,709,31,27
0,940,35,5
0,101,27,7
36,2542,27,11
0,997,31,50
39,1042,27,7
0,2946,35,12
0,2406,19,18
35,1160,47,39
30,849,31,14
50,2058,35,48
40,962,35,50
39,4332,27,23
0,1583,23,11
0,3388,63,14
0,1059,23,14
40,950,23,56
35,1975,19,14
0,1500,23,12
0,3018,31,8
0,1883,35,5
0,1950,31,24
31,1759,27,14
0,2053,23,12
0,854,19,20
0,1101,31,37
41,314,23,8
35,4117,31,12
0,1479,27,23
0,1393,51,17
0,2422,31,13
37,2595,35,14
0,1730,23,5
0,450,27,4
0,925,31,22
0,1780,35,27
0,493,91,35
0,940,43,18
0,2090,43,2
0,1124,51,5
0,1608,31,12
0,1279,39,1
0,610,31,5
0,300,27,15
0,1688,43,12
0,1895,11,3
0,2572,23,8
42,1160,27,10
0,1807,39,24
0,833,23,12
0,489,39,11
0,2206,31,24
0,977,23,14
0,106,39,27
0,992,27,9
0,410,23,14
0,2987,23,5
45,1191,27,37
34,2584,23,4
0,1932,31,5
0,3193,27,27
0,1135,35,15
0,1423,43,35
36,1313,35,8
34,579,35,39
0,1695,19,37
33,1222,35,4
0,1100,23,23
0,513,19,37
39,1690,23,34
0,1587,39,12
0,1072,87,42
0,388,47,3
0,231,31,1
0,893,35,15
36,526,47,5
0,595,39,7
0,1026,43,15
0,606,47,10
0,1134,31,12
35,1005,19,24
31,1581,31,15
0,683,31,2
0,1453,31,27
0,1570,35,34
39,2069,43,47
0,2017,35,2
0,707,31,4
0,289,23,16
50,728,39,35
0,823,47,25
0,778,39,12
50,676,35,38
0,2511,39,9
0,2636,243,23
0,3809,23,22
37,3893,47,14
0,1557,55,13
0,945,31,14
0,2520,39,2
0,1786,111,25
50,3224,43,10
45,3596,39,12
0,688,23,33
0,1879,27,41
0,4514,35,4
38,1906,35,2
0,75,31,7
50,3065,19,34
38,2151,23,9
0,405,31,5
0,1143,83,2
0,985,23,4
0,2264,23,21
0,888,31,12
24,2578,31,4
33,209,31,40
0,1655,35,9
0,4929,43,14
0,2297,27,48
0,1365,35,5
0,1811,23,37
40,1097,27,7
50,2814,39,8
40,1152,43,12
0,1158,27,20
0,449,51,8
0,2558,19,27
0,2066,47,12
0,2361,51,12
0,2375,19,33
39,1603,43,19
35,2155,27,7
0,5238,31,5
0,1185,27,9
40,1447,19,35
0,1221,79,46
43,1544,31,35
50,1056,23,37
0,1361,47,35
0,1577,39,3
0,542,15,7
25,1781,71,41
34,1610,35,10
0,157,27,14
0,915,35,12
35,1030,167,14
0,330,23,23
0,326,15,35
28,1413,19,9
36,4895,55,15
0,1345,39,45
0,2319,31,31
0,1972,67,43
0,203,39,8
0,1175,35,3
0,1459,31,19
0,1426,27,13
0,884,39,37
38,1398,23,5
0,844,39,7
0,2327,35,12
40,569,23,3
40,1091,47,25
32,4623,75,22
0,397,23,8
0,6171,43,12
0,483,39,9
40,3119,27,5
0,1223,27,13
42,632,15,30
38,886,47,10
0,4342,35,45
0,2216,39,14
0,2540,39,18
16,1918,31,10
0,5030,27,14
0,471,19,27
36,61,47,19
36,2816,31,2
0,705,39,34
50,2591,47,48
0,2012,63,5
0,585,47,14
20,2200,19,14
0,285,127,12
0,1432,19,2
0,177,15,46
0,1206,31,5
0,2563,19,9
0,1787,27,45
0,2673,27,30
38,1132,395,27
0,1933,55,5
34,1721,27,14
0,961,35,23
0,240,35,5
0,1267,43,15
37,7215,47,27
0,447,35,8
38,370,39,45
32,6641,27,40
0,2698,35,27
0,421,51,47
0,1569,23,9
0,1727,27,14
35,3957,23,14
0,3015,31,12
0,1292,27,49
0,1036,39,27
0,885,107,3
0,2208,35,22
0,1898,35,40
0,2046,31,2
30,2233,31,3
33,2653,31,2
37,2019,11,46
0,443,19,5
0,2198,35,1
34,3125,27,7
37,68,39,27
0,1500,35,21
31,3543,23,46
35,4716,27,9
0,1165,31,2
0,1700,35,8
0,1662,27,40
0,164,31,4
39,5251,23,8
0,1291,23,48
40,512,35,27
0,393,35,36
0,625,19,9
0,133,15,11
0,415,27,1
0,560,35,17
31,645,19,7
0,1203,107,17
29,5336,27,47
38,1234,35,19
0,805,39,5
0,1416,23,2
0,102,31,28
0,499,31,9
0,2534,43,48
41,526,35,17
0,918,59,19
0,191,35,27
0,41,35,17
32,1652,23,1
0,1440,35,4
0,275,35,3
0,222,35,26
0,528,27,2
0,1337,19,8
0,1171,31,54
47,179,23,42
0,2059,15,29
0,2111,23,49
0,2125,47,25
0,2805,31,11
0,3165,31,3
0,2060,39,27
10,4325,31,11
0,3006,27,1
30,1034,27,14
0,6042,31,25
0,159,11,9
0,261,91,10
0,1118,31,4
47,538,31,46
0,1583,35,33
41,613,23,23
0,486,39,8
0,648,15,14
0,1929,23,14
0,173,15,12
0,148,35,4
43,2544,27,10
34,1736,27,34
34,1913,39,4
0,2114,39,12
0,5313,19,19
20,337,27,2
40,555,27,37
0,4825,35,25
0,2051,19,11
39,652,31,13
0,2071,19,8
33,895,39,5
0,1646,31,4
37,3268,39,24
31,1518,31,2
0,1632,27,35
0,976,27,20
0,428,39,5
0,1042,23,11
0,1228,27,12
40,729,19,17
0,2649,35,5
0,929,27,44
34,3302,31,10
0,432,31,45
0,2236,35,20
0,2271,27,35
0,4177,31,17
36,415,23,50
37,178,43,33
0,994,83,17
0,652,19,16
0,35,23,7
0,193,35,36
0,73,27,7
0,781,19,27
0,1759,51,12
37,1577,15,45
36,477,35,41
20,4429,51,5
0,766,19,53
0,1014,35,8
44,2781,31,23
0,2934,27,24
0,4251,27,14
0,3208,43,3
0,1580,23,14
0,1000,35,41
0,137,43,27
0,2709,35,29
39,1545,35,14
0,246,47,8
37,997,67,11
36,605,43,12
0,2797,35,48
0,3800,35,34
30,1505,23,46
38,1796,23,46
0,925,27,7
30,2165,35,33
0,678,11,17
27,1472,27,7
0,546,23,12
0,1172,35,24
0,35,31,2
0,4085,23,27
0,2768,31,14
0,2298,27,2
0,401,39,3
0,434,43,2
0,154,19,8
50,2703,19,27
0,806,19,23
0,3069,23,1
0,1840,23,48
48,1664,59,27
0,342,39,12
0,2605,31,2
45,3538,51,41
30,1075,39,41
0,974,43,13
0,1224,159,4
34,496,27,8
0,187,31,12
0,313,39,5
0,1604,27,37
0,1675,31,48
0,2061,27,36
0,374,27,27
37,1040,43,8
42,3587,31,23
0,1615,31,33
0,956,27,42
0,4826,27,12
0,174,35,35
36,4151,31,27
0,2809,27,5
0,698,31,14
0,1942,27,12
0,650,19,5
0,656,47,40
0,731,31,4
0,2030,31,7
0,506,31,11
0,424,39,12
0,3174,15,9
30,1782,23,14
0,810,27,32
0,753,51,18
39,2176,23,5
0,1441,35,3
0,425,23,3
0,742,163,14
0,2554,35,3
10,806,15,47
0,321,31,9
0,1746,23,17
0,2097,31,27
38,1048,35,10
42,7439,19,28
0,2495,35,10
50,1254,27,19
0,864,79,48
50,1268,35,1
34,2847,35,38
38,1070,27,49
0,521,39,48
20,2576,35,18
0,3075,79,38
0,1827,27,14
0,2306,19,2
0,891,19,27
0,584,23,14
50,959,111,48
0,2821,19,14
0,414,31,14
0,583,19,23
0,1176,31,12
0,3127,39,25
0,2856,31,27
0,990,147,19
0,3051,15,10
40,4292,19,5
39,2184,35,9
0,5116,31,21
0,757,47,6
0,3027,19,21
0,1896,39,35
45,2712,47,12
40,571,27,36
31,1241,27,7
0,337,31,24
40,1341,31,23
0,2155,51,35
27,1894,35,31
0,2559,23,8
0,939,39,11
0,777,31,12
0,1400,23,11
0,2169,43,16
0,412,39,23
36,3688,39,22
0,1319,31,8
0,960,23,28
37,1053,23,4
0,1342,23,14
0,229,19,14
0,177,51,14
39,917,39,9
0,537,31,3
40,51,43,48
20,1050,31,7
0,2688,27,4
32,3329,55,49
0,668,19,27
0,163,63,13
36,2613,27,27
0,1521,39,6
0,735,19,2
0,3243,23,3
0,1977,35,13
0,320,27,19
36,1807,39,8
